trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",30,0,-180.8667769052515,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-113.03067971093984,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-201.62883896325636,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,4,-55.667125623394334,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-87.36411493889126,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-28.68158792377919,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-75.1004149130268,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-59.108922357283106,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-83.00314596500647,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-89.02949133959916,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-81.90355686619397,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,0,-148.3370706360593,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
