trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-127.14964444440683,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-187.5241448819913,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-188.43651621556808,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-215.0951806515392,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-130.28451981724686,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-121.01270005605906,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-131.57068537783235,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-258.6446065383759,"{0: 14, 1: 8, 2: 9, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-88.51327268233183,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-29.289997446550064,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-65.19030904391667,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-45.994961321641554,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-60.60664431109061,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-132.46307067245078,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-164.32449241890893,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-122.32051374758196,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-84.73965039483274,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-181.9199948058992,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,-57.994208233022704,"{0: 14, 1: 5, 2: 1, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-97.59204909667181,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.02897198203348,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.71415027262029,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-206.06224544857642,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-63.3746387307007,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.689375829084117,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-48.563069180144836,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-53.324942671274826,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,3,-74.2466594268664,"{0: 7, 1: 6, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-93.28451194189026,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,11,-21.008406336287244,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
